Rank,Player,Team,Quality (Raw),Consistency Quality-Weighted (Raw),Participation (Raw),Dominance (Raw),Quality (Norm),Consistency Quality-Weighted (Norm),Participation (Norm),Dominance (Norm),WBI Score
1,Lahiru Udara,Nondescripts Cricket Club,380.4938,0.1987,0.98,1.8987,1.0,0.4249,0.9965,0.6428,0.8305
2,Ranesh Silva,Ace Capital Cricket Club,221.1531,0.4316,0.841,0.6849,0.576,0.9231,0.8221,0.409,0.6819
3,Ashen Bandara,Police Sports Club,305.4553,0.0381,0.9028,1.323,0.8003,0.0815,0.8996,0.5319,0.6411
4,Ravindu Fernando,Bloomfield Cricket and Athletic Club,293.3037,0.0313,0.9128,1.3301,0.768,0.067,0.9121,0.5332,0.6286
5,Kamil Mishara,Nondescripts Cricket Club,313.8097,0.0314,0.7466,1.8318,0.8225,0.0671,0.7035,0.6299,0.6128
6,Pawantha Weerasinghe,Ace Capital Cricket Club,266.8188,0.0428,0.9828,0.7362,0.6975,0.0916,1.0,0.4189,0.6102
7,Pasindu Sooriyabandara,Moors Sports Club,293.0312,0.0198,0.8355,1.6893,0.7673,0.0424,0.8152,0.6025,0.6095
8,Pavan Rathnayaka,Colombo Cricket Club,302.7841,0.0282,0.791,1.6615,0.7932,0.0604,0.7593,0.5971,0.6088
9,Kasun Vidura,Chilaw Marians Cricket Club,279.1588,0.0207,0.9055,1.154,0.7303,0.0443,0.903,0.4993,0.6017
10,Niroshan Dickwella,Nondescripts Cricket Club,266.8291,0.0626,0.8583,1.0072,0.6975,0.1338,0.8437,0.4711,0.5874
11,Priyamal Perera,Police Sports Club,245.5435,0.0629,0.9028,0.863,0.6409,0.1345,0.8996,0.4433,0.5746
12,Oshada Fernando,Panadura Sports Club,253.7716,0.0754,0.841,0.8774,0.6628,0.1612,0.8221,0.446,0.5698
13,Angelo Mathews,Colts Cricket Club,320.1718,0.0263,0.4114,3.7532,0.8395,0.0562,0.2827,1.0,0.5677
14,Dinesh Chandimal,Colts Cricket Club,292.5807,0.0649,0.6148,1.8974,0.7661,0.1387,0.5381,0.6425,0.5651
15,Nipun Karunanayake,Bloomfield Cricket and Athletic Club,232.2028,0.0267,0.9228,0.8026,0.6054,0.0572,0.9247,0.4316,0.5495
16,Sohan De Livera,Moors Sports Club,238.9934,0.0522,0.8655,0.7803,0.6235,0.1116,0.8528,0.4273,0.549
17,Dhananjaya Lakshan,Colts Cricket Club,248.258,0.0205,0.8255,1.2034,0.6481,0.0437,0.8026,0.5088,0.545
18,Pramod Maduwantha,Burgher Recreation Club,255.0686,0.0365,0.7238,1.4419,0.6662,0.0782,0.6749,0.5548,0.5341
19,Ron Chandraguptha,Bloomfield Cricket and Athletic Club,231.8141,0.02,0.8783,0.5577,0.6044,0.0427,0.8688,0.3845,0.5252
20,Minod Banuka,Tamil Union Cricket and Athletic Club,237.0563,0.0485,0.7638,0.9292,0.6183,0.1037,0.7251,0.456,0.5177
21,Ramesh Mendis,Moors Sports Club,239.6782,0.0143,0.7783,1.1413,0.6253,0.0305,0.7433,0.4969,0.5166
22,Sithara Gimhana,Moors Sports Club,183.9333,0.1724,0.8183,0.3645,0.4769,0.3687,0.7935,0.3472,0.515
23,Janith Liyanage,Bloomfield Cricket and Athletic Club,277.3766,0.0243,0.6003,1.4538,0.7256,0.0519,0.5199,0.5571,0.5142
24,Lasith Croospulle,Colombo Cricket Club,254.2275,0.0233,0.7293,0.9169,0.664,0.0499,0.6818,0.4537,0.5141
25,Dhananjaya De Silva,Colombo Cricket Club,280.9372,0.0363,0.4314,2.8032,0.7351,0.0776,0.3078,0.817,0.509
26,Anjala Bandara,Colombo Cricket Club,262.2256,0.0215,0.5976,1.7923,0.6853,0.0459,0.5165,0.6223,0.5057
27,Sahan Kosala,Colombo Cricket Club,250.0368,0.0248,0.6921,1.08,0.6528,0.0531,0.6351,0.4851,0.5033
28,Parvez Rasool,Badureliya Sports Club,180.4162,0.4676,0.2579,1.7413,0.4676,1.0,0.09,0.6125,0.5014
29,Samarth Seth,Panadura Sports Club,177.995,0.4611,0.2307,2.1963,0.4611,0.9862,0.0558,0.7001,0.5007
30,Navod Paranavithana,Tamil Union Cricket and Athletic Club,217.0468,0.032,0.7838,0.6719,0.5651,0.0684,0.7502,0.4065,0.4882
31,Sahan Arachchige,Nondescripts Cricket Club,215.7785,0.0173,0.781,0.8981,0.5617,0.0371,0.7468,0.45,0.4863
32,Sangeeth Cooray,Colts Cricket Club,206.8895,0.0128,0.8455,0.4939,0.538,0.0274,0.8277,0.3722,0.4834
33,Shevon Daniel,Sinhalese Sports Club,252.843,0.0194,0.5231,2.0948,0.6603,0.0416,0.4229,0.6805,0.4803
34,Kavin Bandara,Nondescripts Cricket Club,224.9049,0.0312,0.6793,1.1478,0.586,0.0667,0.619,0.4981,0.4772
35,Sonal Dinusha,Colombo Cricket Club,204.781,0.0075,0.6593,2.3311,0.5324,0.0161,0.5939,0.7261,0.4736
36,Lakshan Edirisinghe,Kurunegala Youth Cricket Club,209.8235,0.0165,0.7938,0.5275,0.5458,0.0353,0.7628,0.3787,0.4729
37,Thanuka Dabare,Chilaw Marians Cricket Club,195.6488,0.0249,0.8438,0.2392,0.5081,0.0533,0.8255,0.3231,0.4687
38,Janishka Perera,Moors Sports Club,217.1446,0.0211,0.7066,0.7493,0.5653,0.0451,0.6532,0.4214,0.4617
39,Shehan Fernando,Moors Sports Club,182.8679,0.021,0.8483,0.441,0.4741,0.0449,0.8312,0.362,0.4607
40,Ahan Wickramasinghe,Nondescripts Cricket Club,180.1955,0.0258,0.8655,0.2231,0.467,0.0552,0.8528,0.32,0.4591
41,T M Sampath,Nugegoda Sports and Welfare Club,179.5067,0.0212,0.8683,0.2463,0.4652,0.0453,0.8563,0.3245,0.4579
42,Nishan Madushka,Colombo Cricket Club,215.62,0.0134,0.6921,0.6911,0.5613,0.0287,0.6351,0.4102,0.4505
43,Geeth Kumara,Badureliya Sports Club,194.1259,0.0225,0.7393,0.6257,0.5041,0.048,0.6944,0.3976,0.4445
44,Roshan Wijenayake,Badureliya Sports Club,239.3823,0.0159,0.4169,2.1352,0.6245,0.034,0.2896,0.6883,0.4323
45,Gayan Maneeshan,Kurunegala Youth Cricket Club,207.9712,0.0177,0.6648,0.5464,0.5409,0.0379,0.6009,0.3823,0.4315
46,Irosh Samarasooriya,Panadura Sports Club,190.8962,0.0267,0.7021,0.5694,0.4955,0.0572,0.6476,0.3867,0.4295
47,Akram Muthalib,Nugegoda Sports and Welfare Club,172.04,0.2304,0.4414,0.9845,0.4453,0.4928,0.3203,0.4667,0.4268
48,Asitha Wanninayake,Bloomfield Cricket and Athletic Club,183.6403,0.0197,0.7193,0.5241,0.4762,0.0421,0.6693,0.378,0.4229
49,Himasha Liyanage,Ace Capital Cricket Club,184.4521,0.0288,0.7193,0.3463,0.4783,0.0615,0.6693,0.3438,0.4225
50,Kevin Perera,Nugegoda Sports and Welfare Club,159.9578,0.0207,0.821,0.2038,0.4131,0.0442,0.797,0.3163,0.4208
51,Sanoj Darshika,Colts Cricket Club,177.298,0.0466,0.6966,0.4828,0.4593,0.0996,0.6407,0.37,0.4193
52,Raminda Wijesooriya,Burgher Recreation Club,193.2516,0.0186,0.6421,0.7853,0.5017,0.0398,0.5723,0.4283,0.416
53,Wanuja Sahan,Ace Capital Cricket Club,141.6748,0.0138,0.9128,-0.2087,0.3645,0.0295,0.9121,0.2368,0.4152
54,Shalith Fernando,Panadura Sports Club,201.593,0.0107,0.5803,1.2242,0.5239,0.0229,0.4948,0.5128,0.4148
55,Dilruwan Perera,Burgher Recreation Club,147.995,0.3813,0.2134,1.5687,0.3813,0.8155,0.0342,0.5792,0.4111
56,Sammu Ashan,Chilaw Marians Cricket Club,196.1681,0.0093,0.6748,0.265,0.5095,0.0199,0.6134,0.3281,0.4104
57,Ravindu Rashantha,Colts Cricket Club,183.0687,0.0148,0.6793,0.3854,0.4746,0.0317,0.619,0.3513,0.4036
58,Muditha Lakshan,Colts Cricket Club,193.0499,0.0529,0.4959,1.1482,0.5012,0.1131,0.3887,0.4982,0.395
59,Rumesh Buddhika,Badureliya Sports Club,174.9471,0.0118,0.6148,1.0544,0.453,0.0253,0.5381,0.4801,0.3928
60,Heshan Fernando,Burgher Recreation Club,158.3096,0.0167,0.7566,0.0031,0.4087,0.0357,0.716,0.2776,0.3913
61,Movin Subasinghe,Burgher Recreation Club,155.2555,0.0205,0.7366,0.2606,0.4006,0.0439,0.6909,0.3272,0.3908
62,Lasith Lakshan,Chilaw Marians Cricket Club,134.5267,0.0209,0.8338,-0.2323,0.3455,0.0448,0.813,0.2323,0.3852
63,Dilshan De Zoysa,Badureliya Sports Club,197.5062,0.0125,0.5459,0.6905,0.5131,0.0268,0.4515,0.41,0.385
64,Chamika Karunaratne,Nondescripts Cricket Club,196.1427,0.0062,0.5603,0.5473,0.5094,0.0132,0.4697,0.3825,0.3812
65,Sakuna Liyanage,Chilaw Marians Cricket Club,132.2218,0.0235,0.8138,-0.1914,0.3393,0.0503,0.7879,0.2402,0.3788
66,Avishka Tharindu,Police Sports Club,151.9174,0.0216,0.7193,0.0819,0.3917,0.0462,0.6693,0.2928,0.3772
67,Kavishka Anjula,Colts Cricket Club,147.3377,0.0149,0.721,0.2512,0.3796,0.0319,0.6714,0.3254,0.3749
68,Sachitha Jayathilake,Tamil Union Cricket and Athletic Club,177.3526,0.0155,0.6003,0.4334,0.4594,0.0331,0.5199,0.3605,0.3744
69,Lahiru Madushanka,Bloomfield Cricket and Athletic Club,130.3917,0.0092,0.8283,-0.237,0.3345,0.0196,0.8061,0.2314,0.3739
70,Lakshan Gamage,Nugegoda Sports and Welfare Club,132.8768,0.2353,0.4541,0.2898,0.3411,0.5033,0.3364,0.3329,0.3711
71,Jatin Saxena,Negombo Cricket Club,130.6305,0.3351,0.2779,0.7467,0.3351,0.7167,0.1152,0.4209,0.3693
72,Dilhara Polgampola,Kurunegala Youth Cricket Club,144.7471,0.0274,0.7121,0.0224,0.3727,0.0586,0.6602,0.2814,0.368
73,Manoj Sarathchandra,Kurunegala Youth Cricket Club,167.1536,0.0113,0.5976,0.6217,0.4323,0.0241,0.5165,0.3968,0.3664
74,Vishad Randika,Police Sports Club,129.6553,0.0418,0.7366,-0.1191,0.3325,0.0893,0.6909,0.2541,0.3617
75,Santhush Gunatilake,Moors Sports Club,135.879,0.0066,0.7366,0.1262,0.3491,0.0142,0.6909,0.3014,0.3604
76,Milan Rathnayake,Moors Sports Club,151.1072,0.0081,0.6566,0.3071,0.3896,0.0174,0.5905,0.3362,0.3574
77,Raveen De Silva,Ace Capital Cricket Club,175.2642,0.0092,0.5259,0.6043,0.4539,0.0197,0.4264,0.3934,0.3511
78,Dushan Vimukthi,Panadura Sports Club,129.5661,0.0126,0.7466,-0.1699,0.3323,0.027,0.7035,0.2443,0.3508
79,Tharindu Rathnayake,Tamil Union Cricket and Athletic Club,137.2819,0.0153,0.6993,0.0023,0.3528,0.0326,0.6442,0.2775,0.3503
80,Alankara Asanka,Badureliya Sports Club,117.0459,0.0127,0.781,-0.167,0.2989,0.0271,0.7468,0.2449,0.3484
81,Vinura Dulsara,Badureliya Sports Club,146.4985,0.0101,0.6576,0.0249,0.3773,0.0217,0.5918,0.2818,0.3455
82,Roshan Jayatissa,Ace Capital Cricket Club,95.2419,0.0156,0.8628,-0.5806,0.2409,0.0333,0.8494,0.1652,0.3402
83,Sameera Sadamal,Kurunegala Youth Cricket Club,136.2645,0.0171,0.6448,0.236,0.3501,0.0365,0.5758,0.3225,0.3397
84,Sadeera Samarawickrama,Moors Sports Club,163.6678,0.0182,0.5031,0.743,0.423,0.0389,0.3978,0.4202,0.3395
85,Dulash Udayanga,Police Sports Club,140.1782,0.009,0.6676,-0.0933,0.3605,0.0193,0.6043,0.2591,0.338
86,Shehan Jayasuriya,Panadura Sports Club,187.4581,0.0342,0.2952,1.7243,0.4863,0.0732,0.1368,0.6092,0.3348
87,Sarujan Sammuganathen,Tamil Union Cricket and Athletic Club,193.2479,0.0066,0.4314,0.4188,0.5017,0.0142,0.3078,0.3577,0.3341
88,Saminda Fernando,Burgher Recreation Club,134.9362,0.0371,0.6248,0.0053,0.3466,0.0794,0.5506,0.2781,0.3339
89,Ashian Daniel,Nondescripts Cricket Club,103.3037,0.008,0.7683,-0.2263,0.2624,0.017,0.7307,0.2335,0.3261
90,Dilum Sudeera,Police Sports Club,94.4737,0.0054,0.8155,-0.4338,0.2389,0.0116,0.79,0.1935,0.3244
91,Nuwanidu Fernando,Sinhalese Sports Club,156.4419,0.0515,0.4114,0.9558,0.4038,0.11,0.2827,0.4611,0.3234
92,Vishwa Chathuranga,Panadura Sports Club,144.1422,0.015,0.5803,0.0753,0.371,0.0321,0.4948,0.2915,0.3223
93,Chamikara Edirisinghe,Kurunegala Youth Cricket Club,103.9902,0.0082,0.7538,-0.3601,0.2642,0.0176,0.7126,0.2077,0.3185
94,Mohammed Shamaaz,Tamil Union Cricket and Athletic Club,152.1963,0.0108,0.4959,0.5861,0.3925,0.0232,0.3887,0.3899,0.3173
95,Isitha Dew Wijesundara,Ace Capital Cricket Club,91.7623,0.0111,0.811,-0.6407,0.2317,0.0238,0.7844,0.1536,0.3166
96,Kasun Abeyratne,Bloomfield Cricket and Athletic Club,131.0232,0.0055,0.5631,0.5258,0.3361,0.0118,0.4732,0.3783,0.3119
97,Suminda Lakshan,Badureliya Sports Club,137.7009,0.015,0.5431,0.3005,0.3539,0.032,0.4481,0.3349,0.3102
98,Rahul Gunasekara,Nugegoda Sports and Welfare Club,106.0821,0.0083,0.7138,-0.4153,0.2698,0.0177,0.6623,0.1971,0.3066
99,Pathum Kumara,Nugegoda Sports and Welfare Club,134.4126,0.017,0.5503,0.1328,0.3452,0.0364,0.4571,0.3026,0.305
100,Nimesh Gunasinghe,Ace Capital Cricket Club,116.7114,0.0072,0.6576,-0.2802,0.2981,0.0155,0.5918,0.2231,0.3037
101,Roscoe Thattil,Badureliya Sports Club,139.7805,0.0087,0.5559,-0.0718,0.3594,0.0186,0.4641,0.2632,0.303
102,Raveen Yasas,Badureliya Sports Club,120.1815,0.0192,0.6176,-0.1861,0.3073,0.0411,0.5416,0.2412,0.3027
103,ROSHAN WIJENAYAKE,Panadura Sports Club,104.2059,0.2648,0.2852,0.3608,0.2648,0.5663,0.1242,0.3465,0.3022
104,Dhanuja Induwara,Police Sports Club,134.1385,0.0099,0.5703,-0.1695,0.3444,0.0213,0.4823,0.2444,0.2992
105,Kemira Wijenayake,Sri Lanka Air Force Sports Club,100.755,0.2556,0.3252,0.0539,0.2556,0.5466,0.1745,0.2874,0.2983
106,Chamindu Wijesinghe,Colombo Cricket Club,100.4516,0.0111,0.6866,-0.3824,0.2548,0.0237,0.6281,0.2034,0.2942
107,Asantha Basnayaka,Kurunegala Youth Cricket Club,105.6468,0.2277,0.2852,0.5664,0.2686,0.4871,0.1242,0.3862,0.2938
108,Risira Weerasuriya,Burgher Recreation Club,133.7058,0.0126,0.5359,-0.0073,0.3433,0.027,0.439,0.2756,0.2938
109,Sasindu Malshan,Panadura Sports Club,144.6726,0.0086,0.4414,0.6661,0.3725,0.0184,0.3203,0.4053,0.2935
110,Sandun Weerakkody,Badureliya Sports Club,111.9004,0.0057,0.6376,-0.2532,0.2853,0.0122,0.5667,0.2283,0.2925
111,Hashan Dumindu,Burgher Recreation Club,150.7178,0.0042,0.4931,-0.1322,0.3885,0.009,0.3853,0.2516,0.2913
112,Thikshila De Silva,Chilaw Marians Cricket Club,113.4274,0.0155,0.6076,-0.1693,0.2893,0.0331,0.529,0.2444,0.2913
113,Sameen Kanadanearachchi,Kandy Customs Sports Club,107.2012,0.2727,0.2034,0.6005,0.2727,0.5833,0.0216,0.3927,0.2901
114,Lahiru Samarakoon,Tamil Union Cricket and Athletic Club,118.1668,0.0154,0.5603,0.028,0.3019,0.033,0.4697,0.2824,0.2872
115,Mineth Premarathne,Bloomfield Cricket and Athletic Club,115.8513,0.0168,0.5931,-0.2974,0.2958,0.0359,0.5108,0.2198,0.2861
116,Nalin Priyadarshana,Police Sports Club,67.9461,0.0045,0.8128,-0.757,0.1683,0.0095,0.7866,0.1312,0.2855
117,Kavindu Amantha,Ace Capital Cricket Club,131.6912,0.0101,0.5186,-0.028,0.3379,0.0216,0.4173,0.2717,0.2846
118,Thulina Dilshan,Tamil Union Cricket and Athletic Club,117.9856,0.0065,0.5903,-0.3029,0.3014,0.014,0.5074,0.2187,0.283
119,Akila Dananjaya,Colts Cricket Club,77.9756,0.0095,0.7455,-0.5942,0.195,0.0204,0.7022,0.1626,0.282
120,Lasith Abeyrathna,Moors Sports Club,119.3516,0.0085,0.5631,-0.1849,0.3051,0.0181,0.4732,0.2414,0.2802
121,Abhimanyu Chauhan,Sri Lanka Air Force Sports Club,103.057,0.2617,0.2234,0.3401,0.2617,0.5597,0.0468,0.3426,0.2797
122,Buddhika Hasaranga,Galle Cricket Club,95.4057,0.2414,0.2952,0.1336,0.2414,0.5162,0.1368,0.3028,0.2794
123,Imal Liyanage,Kandy Customs Sports Club,147.7483,0.011,0.3969,0.5044,0.3806,0.0235,0.2645,0.3742,0.2792
124,Hasitha Boyagoda,Bloomfield Cricket and Athletic Club,122.7572,0.0151,0.5186,-0.0345,0.3141,0.0324,0.4173,0.2704,0.277
125,Udayawansha Parakrama,Chilaw Marians Cricket Club,112.6709,0.007,0.5831,-0.3023,0.2873,0.0149,0.4983,0.2188,0.2753
126,Roshane Silva,Burgher Recreation Club,138.7451,0.0281,0.3669,0.7477,0.3567,0.0602,0.2268,0.4211,0.2746
127,Maduka Liyanapathiranage,Nugegoda Sports and Welfare Club,83.3519,0.0068,0.7021,-0.657,0.2093,0.0146,0.6476,0.1505,0.2711
128,Diniru Abeywickramasingha,Burgher Recreation Club,93.7655,0.237,0.2579,0.2509,0.237,0.5069,0.09,0.3254,0.2675
129,Leo Fransisco,Badureliya Sports Club,110.5929,0.0081,0.5559,-0.2536,0.2818,0.0173,0.4641,0.2282,0.2664
130,Ravindu Rathnayake,Chilaw Marians Cricket Club,117.916,0.0059,0.5186,-0.2309,0.3013,0.0127,0.4173,0.2326,0.2623
131,Chamod Sandaru,Kurunegala Youth Cricket Club,114.1847,0.0066,0.4986,0.0824,0.2913,0.0141,0.3922,0.2929,0.2613
132,Anuk Fernando,Nugegoda Sports and Welfare Club,83.3476,0.0128,0.6548,-0.5907,0.2093,0.0273,0.5883,0.1633,0.2607
133,Kavindu Kulasekara,Ace Capital Cricket Club,118.9,0.0058,0.5159,-0.2896,0.3039,0.0124,0.4139,0.2213,0.2607
134,Lohan De Zoysa,Nugegoda Sports and Welfare Club,110.3312,0.0043,0.5559,-0.5963,0.2811,0.0092,0.4641,0.1622,0.2546
135,Nimesh Vimukthi,Panadura Sports Club,68.8568,0.0063,0.7093,-0.7667,0.1707,0.0134,0.6567,0.1294,0.2545
136,Duvindu Tillakaratne,Bloomfield Cricket and Athletic Club,53.2817,0.006,0.7738,-0.9022,0.1293,0.0127,0.7377,0.1033,0.2542
137,Dinushka Malan,Kurunegala Youth Cricket Club,84.2093,0.0064,0.6321,-0.5147,0.2116,0.0137,0.5597,0.1779,0.254
138,Shashika Dulshan,Burgher Recreation Club,69.1662,0.0022,0.6666,-0.2983,0.1715,0.0047,0.603,0.2196,0.2532
